nombre,telefono,email,edad,residencia
Santiago Volio,88123401,santiago.volio@ulead.ac.cr,19,San José
Andrés Volio,88123402,andres.volio@gmail.com,16,Heredia
Adriana Argüello,88123403,adriana.arguello@outlook.com,22,Cartago
Kenneth Baldi,88123404,kenneth.baldi@hotmail.com,27,Alajuela
Jaime Volio,88123405,jaime.volio@yahoo.com,26,Guanacaste
Jorge Álvarez,88123406,jorge.alvarez@icloud.com,23,San José
Alejandro Brenes,88123407,alejandro.brenes@anglo.ed.cr,25,Limón
Gastón Sancho,88123408,gaston.sancho@ulead.ac.cr,28,Puntarenas
Esteban Cruz,88123409,esteban.cruz@gmail.com,20,Cartago
Alejandro Ruiz,88123410,alejandro.ruiz@outlook.com,29,Heredia
Samuel Alpízar,88123411,samuel.alpizar@hotmail.com,22,Alajuela
Diego Díaz,88123412,diego.diaz@yahoo.com,24,San José
Julián Escalante,88123413,julian.escalante@icloud.com,21,Guanacaste
Julián Maroto,88123414,julian.maroto@anglo.ed.cr,23,Cartago
Luis Meza,88123415,luis.meza@ulead.ac.cr,30,Heredia
Berglioth Elbrecht,88123416,berglioth.elbrecht@gmail.com,27,San José
Lorena Volio,88123417,lorena.volio@outlook.com,25,Alajuela
Anna Lía Volio,88123418,anna.lia.volio@hotmail.com,19,Cartago
Carlos Volio,88123419,carlos.volio@yahoo.com,31,Puntarenas
Josué Padilla,88123420,josue.padilla@icloud.com,26,Limón
Mariana Solís,88123421,mariana.solis@anglo.ed.cr,22,San José
Daniel Quesada,88123422,daniel.quesada@ulead.ac.cr,28,Heredia
Valeria Jiménez,88123423,valeria.jimenez@gmail.com,20,Cartago
Pablo Vargas,88123424,pablo.vargas@outlook.com,27,Alajuela
Camila Rojas,88123425,camila.rojas@hotmail.com,24,Guanacaste
Sebastián Mora,88123426,sebastian.mora@yahoo.com,23,San José
Fernanda Pineda,88123427,fernanda.pineda@icloud.com,21,Limón
Ricardo Chaves,88123428,ricardo.chaves@anglo.ed.cr,29,Puntarenas
Natalia Murillo,88123429,natalia.murillo@ulead.ac.cr,26,Heredia
Gabriel Cordero,88123430,gabriel.cordero@gmail.com,22,Cartago
Paula Herrera,88123431,paula.herrera@outlook.com,25,Alajuela
Fabián Araya,88123432,fabian.araya@hotmail.com,30,San José
Daniela Castro,88123433,daniela.castro@yahoo.com,19,Guanacaste
José Ramírez,88123434,jose.ramirez@icloud.com,32,Limón
Lucía Méndez,88123435,lucia.mendez@anglo.ed.cr,23,Cartago
Mauricio Fonseca,88123436,mauricio.fonseca@ulead.ac.cr,28,Puntarenas
Andrea Salazar,88123437,andrea.salazar@gmail.com,24,San José
Kevin Navarro,88123438,kevin.navarro@outlook.com,21,Heredia
Tatiana Campos,88123439,tatiana.campos@hotmail.com,27,Alajuela
Cristian Villalobos,88123440,cristian.villalobos@yahoo.com,26,San José
Sofía Ureña,88123441,sofia.urena@icloud.com,20,Cartago
Manuel Leitón,88123442,manuel.leiton@anglo.ed.cr,31,Guanacaste
Elena Badilla,88123443,elena.badilla@ulead.ac.cr,22,Limón
Óscar Zúñiga,88123444,oscar.zuniga@gmail.com,29,Heredia
Melissa Carvajal,88123445,melissa.carvajal@outlook.com,25,Puntarenas
Bryan Céspedes,88123446,bryan.cespedes@hotmail.com,24,Alajuela
Karla Villalta,88123447,karla.villalta@yahoo.com,23,San José
Roberto Montero,88123448,roberto.montero@icloud.com,33,Cartago
Allison Madrigal,88123449,allison.madrigal@anglo.ed.cr,18,Heredia
Emilio Barrantes,88123450,emilio.barrantes@ulead.ac.cr,27,Guanacaste
María José León,88123451,mariajose.leon@gmail.com,22,San José
Héctor Brenes,88123452,hector.brenes@outlook.com,28,Limón
Paola Valverde,88123453,paola.valverde@hotmail.com,24,Alajuela
Leonardo Arce,88123454,leonardo.arce@yahoo.com,26,Puntarenas
Nicolás Segura,88123455,nicolas.segura@icloud.com,21,Heredia
Rebeca Coto,88123456,rebeca.coto@anglo.ed.cr,29,Cartago
Ignacio Prado,88123457,ignacio.prado@ulead.ac.cr,30,San José
Isabella Rentería,88123458,isabella.renteria@gmail.com,20,Guanacaste
Tomás Hidalgo,88123459,tomas.hidalgo@outlook.com,25,Limón
Verónica Ocampo,88123460,veronica.ocampo@hotmail.com,27,Alajuela
Matteo Bianchi,88123461,matteo.bianchi@yahoo.com,26,extranjero
Lucas Ferreira,88123462,lucas.ferreira@icloud.com,24,extranjero
Thiago Morel,88123463,thiago.morel@anglo.ed.cr,29,extranjero
Valentina Rossi,88123464,valentina.rossi@ulead.ac.cr,23,extranjera
Emma Dubois,88123465,emma.dubois@gmail.com,21,extranjera
Daniel Porras,88123466,daniel.porras@outlook.com,28,San José
Laura Benavides,88123467,laura.benavides@hotmail.com,22,Heredia
Miguel Ángel Rivas,88123468,miguelangel.rivas@yahoo.com,31,Cartago
Catherine Naranjo,88123469,catherine.naranjo@icloud.com,24,Puntarenas
Adrián Moya,88123470,adrian.moya@anglo.ed.cr,27,Alajuela
